Id,p,job,A12,OnlineSurveyStatus,InviteSent,sys_EndTime,OnlineCompletionTime,tot_hour_diff
AA2200-01i2207186446051b_21695_20221013,6446051b,Panel,0,5,2022-10-13 13:00:06.053,14/10/2022 06:53,2022-10-14 16:53:00,27.881651944444446
AA2200-07i2207181258138c_22913_20221011,1258138c,Panel,0,5,2022-10-11 13:00:04.040,11/10/2022 02:26,2022-10-11 12:26:00,-0.5677888888888889
AA2200-07i2207186797423h_22955_20221018,6797423h,Panel,0,5,2022-10-18 12:00:05.957,18/10/2022 06:18,2022-10-18 16:18:00,4.298345277777778
AA2200-07R22207182402748f_10874_20220929,2402748f,Recontact2+Resend,19,5,2022-09-29 15:00:04.310,29/09/2022 07:02,2022-09-29 17:02:00,2.032136111111111
AA2200-07R22207187813784a_11176_20221011,7813784a,Recontact2+Resend,1,5,2022-10-11 17:00:03.700,12/10/2022 22:39,2022-10-13 08:39:00,39.64897222222222
AA2200-08i2208182901010q_22835_20220929,2901010q,Panel,0,5,2022-09-29 16:00:07.133,30/09/2022 11:18,2022-09-30 21:18:00,29.29801861111111
AA2200-09i2209201142476i_23120_20221026,1142476i,Panel,0,5,2022-10-26 15:00:19.820,26/10/2022 04:55,2022-10-26 14:55:00,-0.08883888888888888
AA2200-09i2209201403939c_22935_20221013,1403939c,Panel,0,5,2022-10-13 16:00:04.477,19/10/2022 05:32,2022-10-19 15:32:00,143.53208972222222
AA2200-09i2209202111196e_22898_20221006,2111196e,Panel,0,5,2022-10-06 12:00:07.860,6/10/2022 05:29,2022-10-06 15:29:00,3.48115
AA2200-09i2209202961171k_22912_20221011,2961171k,Panel,0,5,2022-10-11 12:00:04.463,14/10/2022 02:52,2022-10-14 12:52:00,72.86542694444445
AA2200-09i2209204349754c_22797_20220928,4349754c,Panel,0,5,2022-09-28 16:00:09.967,29/09/2022 02:40,2022-09-29 12:40:00,20.663898055555556
AA2200-09i2209204429120c_22862_20220930,4429120c,Panel,0,5,2022-09-30 13:00:06.393,7/10/2022 02:39,2022-10-07 12:39:00,167.64822416666667
AA2200-09i2209204733263f_22752_20221011,4733263f,Panel,0,5,2022-10-11 12:00:05.950,11/10/2022 05:11,2022-10-11 15:11:00,3.1816805555555554
AA2200-09i2209204787818f_22922_20221012,4787818f,Panel,0,5,2022-10-12 13:00:06.910,24/10/2022 00:10,2022-10-24 10:10:00,285.1647472222222
AA2200-09i2209205035385h_22777_20220926,5035385h,Panel,0,5,2022-09-27 10:00:05.007,30/09/2022 01:11,2022-09-30 11:11:00,73.1819425
AA2200-09i2209205248991b_22923_20221012,5248991b,Panel,0,5,2022-10-12 13:00:09.127,12/10/2022 02:35,2022-10-12 12:35:00,-0.4192019444444444
AA2200-09i2209206303301f_22928_20221013,6303301f,Panel,0,5,2022-10-13 13:00:09.740,20/10/2022 02:13,2022-10-20 12:13:00,167.2139611111111
AA2200-09i2209206720101d_22814_20220928,6720101d,Panel,0,5,2022-09-28 17:00:08.403,27/10/2022 07:22,2022-10-27 17:22:00,696.3643325
